player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"chong",Z9Ptp2nZKV,2023-10-02T23:26:11.841Z,,4000,,6810,2810
"ODgoofyahhh",kBka-EGRbK,2023-10-02T23:26:11.836Z,2023-10-02T23:30:00.728Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-10-02T23:21:56.524Z,2023-10-02T23:54:27.953Z,2000,0,0,-2000
"chong",Z9Ptp2nZKV,2023-10-02T23:20:42.025Z,2023-10-02T23:23:15.303Z,2000,0,0,-2000
"Rosstafarian",VkxrnlN8ED,2023-10-02T23:18:15.850Z,2023-10-03T00:05:51.080Z,1000,1884,0,884
"ODgoofyahhh",kBka-EGRbK,2023-10-02T23:12:00.721Z,2023-10-02T23:23:15.297Z,1000,0,0,-1000
"Tim",5-UpQ-JlBO,2023-10-02T23:09:40.784Z,2023-10-02T23:46:23.765Z,1000,2657,0,1657
"chong",Z9Ptp2nZKV,2023-10-02T23:04:06.669Z,2023-10-02T23:19:16.660Z,1000,0,0,-1000
"Rosstafarian",VkxrnlN8ED,2023-10-02T23:04:06.667Z,2023-10-02T23:17:14.745Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-10-02T23:04:06.673Z,2023-10-02T23:20:42.020Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-10-02T23:04:06.665Z,,1000,,565,-435
"Koong",Q4ETemzFc0,2023-10-02T23:04:06.671Z,,1000,,5084,4084
