player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Ethan",XW1VzhP8vY,2023-11-18T03:10:50.527Z,2023-11-18T04:07:33.775Z,1000,0,0,-1000
"Bader",f2BwwBcrPK,2023-11-18T02:27:09.684Z,2023-11-18T02:35:07.135Z,1000,0,0,-1000
"Tim",L1KOTzxmUX,2023-11-18T02:17:31.993Z,2023-11-18T02:35:07.130Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-18T02:09:46.787Z,,1000,,1200,200
"Chun",_N_cK3qhoi,2023-11-18T02:08:37.573Z,,2000,,4457,2457
"Bader",f2BwwBcrPK,2023-11-18T02:07:46.394Z,2023-11-18T02:26:28.128Z,1000,0,0,-1000
"Tim",L1KOTzxmUX,2023-11-18T02:05:47.297Z,2023-11-18T02:16:09.247Z,1000,0,0,-1000
"cito",ug0-CrzeER,2023-11-18T02:05:47.295Z,,1000,,3343,2343
