player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ODgoofyahhh",kBka-EGRbK,2023-09-26T23:45:04.144Z,2023-09-26T23:46:56.094Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-09-26T23:28:17.299Z,,1000,,4761,3761
"noah",zdVhbI3D5i,2023-09-26T23:16:00.792Z,,1000,,1608,608
"Bader",RqK6M3iLaR,2023-09-26T23:10:00.513Z,,2000,,1762,-238
"ODgoofyahhh",kBka-EGRbK,2023-09-26T23:08:50.608Z,2023-09-26T23:44:05.481Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-09-26T23:08:50.610Z,2023-09-26T23:53:27.618Z,2000,0,0,-2000
"Koong",Nga2sDlRXe,2023-09-26T21:58:49.891Z,,2000,,7604,5604
"chong",Z9Ptp2nZKV,2023-09-26T21:12:15.756Z,2023-09-26T23:08:41.722Z,3000,3911,0,911
"noah",zdVhbI3D5i,2023-09-26T21:04:42.020Z,2023-09-26T21:28:12.281Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-09-26T20:58:17.077Z,2023-09-26T21:02:43.405Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-09-26T20:58:17.079Z,2023-09-26T21:47:02.120Z,2000,0,0,-2000
"Theo",3tU-qwtOcM,2023-09-26T20:58:17.073Z,,1000,,354,-646
"Koong",Nga2sDlRXe,2023-09-26T20:58:17.070Z,2023-09-26T21:58:44.366Z,2000,0,0,-2000
