player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"chong",Z9Ptp2nZKV,2023-10-31T00:41:48.266Z,,3000,,4220,1220
"Chun",-6-yYmPWx-,2023-10-31T00:24:59.093Z,,2000,,2007,7
"noah",zdVhbI3D5i,2023-10-31T00:10:21.968Z,2023-10-31T00:31:59.792Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-10-30T23:58:09.330Z,2023-10-31T00:09:43.213Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2023-10-30T23:51:28.971Z,2023-10-31T00:24:06.424Z,2000,0,0,-2000
"noah",zdVhbI3D5i,2023-10-30T23:45:26.272Z,2023-10-30T23:56:36.362Z,2000,0,0,-2000
"Rosstafarian",AcRKLUvz8e,2023-10-30T23:40:28.674Z,2023-10-31T00:51:31.855Z,1000,2965,0,1965
"chong",Z9Ptp2nZKV,2023-10-30T23:39:03.693Z,2023-10-31T00:40:52.308Z,2000,0,0,-2000
"cito",ug0-CrzeER,2023-10-30T23:37:30.304Z,,1000,,4707,3707
"Tim",5-UpQ-JlBO,2023-10-30T23:36:29.712Z,2023-10-31T00:06:20.138Z,1000,3104,0,2104
"noah",zdVhbI3D5i,2023-10-30T23:36:29.710Z,2023-10-30T23:44:41.426Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-10-30T23:36:29.708Z,2023-10-30T23:37:30.302Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-10-30T23:36:29.706Z,2023-10-30T23:51:08.153Z,1000,0,0,-1000
"cito",ug0-CrzeER,2023-10-30T23:30:15.528Z,2023-10-30T23:36:29.702Z,1000,0,0,-1000
"Koong",gtVj1K_tl5,2023-10-30T23:30:15.526Z,,1000,,4997,3997
