player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Muuu",wz04g67XLY,2023-11-09T02:14:18.902Z,2023-11-09T02:35:14.524Z,1000,0,0,-1000
"Muuu",pVVy1kBDr6,2023-11-09T02:06:56.818Z,2023-11-09T02:11:07.139Z,1000,0,0,-1000
"cito",ug0-CrzeER,2023-11-09T02:01:04.798Z,,2000,,1955,-45
"noah",zdVhbI3D5i,2023-11-09T01:14:38.338Z,,1000,,2144,1144
"Rosstafarian",AcRKLUvz8e,2023-11-09T01:12:43.393Z,2023-11-09T02:20:00.245Z,1000,712,0,-288
"cito",ug0-CrzeER,2023-11-09T01:12:43.391Z,2023-11-09T02:00:45.014Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-09T01:06:01.588Z,,1000,,2687,1687
"Koong",BCXQ4syH-h,2023-11-09T01:06:01.573Z,,2000,,2523,523
"Koong",BCXQ4syH-h,2023-11-09T01:04:24.044Z,2023-11-09T01:05:16.875Z,1000,520,0,-480
"cito",ug0-CrzeER,2023-11-09T01:01:25.101Z,2023-11-09T01:12:02.013Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2023-11-09T01:01:25.103Z,2023-11-09T01:34:04.392Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-11-09T01:01:25.099Z,,1000,,3459,2459
