player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2023-10-19T17:41:23.340Z,,1500,,850,-650
"cito",ug0-CrzeER,2023-10-19T17:31:34.383Z,2023-10-19T17:41:00.311Z,1000,0,0,-1000
"cito",ug0-CrzeER,2023-10-19T16:41:14.451Z,2023-10-19T17:31:27.270Z,3000,0,0,-3000
"Chun",-6-yYmPWx-,2023-10-19T16:31:40.205Z,,1000,,4440,3440
"Koong",iW_zzpYCzJ,2023-10-19T16:31:40.207Z,,1000,,3210,2210
"cito",ug0-CrzeER,2023-10-19T16:31:40.201Z,2023-10-19T16:41:03.245Z,1000,0,0,-1000
