player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2023-11-17T23:59:14.431Z,2023-11-18T00:14:29.047Z,2000,0,0,-2000
"cito",ug0-CrzeER,2023-11-17T23:35:28.373Z,2023-11-17T23:58:58.079Z,2000,0,0,-2000
"cito",ug0-CrzeER,2023-11-17T23:21:37.213Z,2023-11-17T23:35:09.751Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-11-17T23:11:59.277Z,2023-11-17T23:24:21.759Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-11-17T23:04:31.800Z,2023-11-17T23:10:51.314Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-17T23:02:06.419Z,,1000,,2917,1917
"Chun",-6-yYmPWx-,2023-11-17T22:57:56.769Z,,3000,,7558,4558
"Oliver",I3_cCYxrmW,2023-11-17T22:53:06.782Z,2023-11-17T23:14:06.896Z,1000,0,0,-1000
"cito",ug0-CrzeER,2023-11-17T22:51:57.172Z,2023-11-17T23:20:43.889Z,1000,0,0,-1000
"Bader",f2BwwBcrPK,2023-11-17T22:51:57.170Z,2023-11-17T23:35:09.755Z,1000,4525,0,3525
"Chun",-6-yYmPWx-,2023-11-17T22:51:57.167Z,2023-11-17T22:57:14.070Z,1000,0,0,-1000
