player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Muuu",wz04g67XLY,2023-11-08T01:10:24.451Z,,1000,,2245,1245
"cito",ug0-CrzeER,2023-11-08T00:50:32.105Z,,1000,,1410,410
"ODgoofyahhh",kBka-EGRbK,2023-11-08T00:37:03.174Z,2023-11-08T01:09:19.286Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-08T00:35:59.379Z,,4000,,1995,-2005
"ODgoofyahhh",kBka-EGRbK,2023-11-08T00:30:06.433Z,2023-11-08T00:35:59.377Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-08T00:23:00.130Z,2023-11-08T00:35:10.471Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2023-11-08T00:20:50.751Z,2023-11-08T00:29:37.055Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-08T00:20:15.060Z,2023-11-08T00:22:13.671Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-11-08T00:18:09.546Z,,1000,,2020,1020
"Chun",-6-yYmPWx-,2023-11-08T00:18:09.544Z,,1000,,3810,2810
"ODgoofyahhh",kBka-EGRbK,2023-11-08T00:18:09.539Z,2023-11-08T00:20:15.057Z,1000,0,0,-1000
"Koong",BCXQ4syH-h,2023-11-08T00:18:09.548Z,,1000,,4520,3520
"cito",ug0-CrzeER,2023-11-08T00:18:09.536Z,2023-11-08T00:50:04.339Z,1000,0,0,-1000
