player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"noah",zdVhbI3D5i,2023-11-06T18:06:38.019Z,,2000,,2775,775
"cito",ug0-CrzeER,2023-11-06T18:05:37.153Z,,2000,,3490,1490
"ODgoofyahhh",aLzuV5BI-s,2023-11-06T17:36:22.205Z,,1000,,1251,251
"Chun",-6-yYmPWx-,2023-11-06T17:32:44.593Z,2023-11-06T18:36:46.337Z,6000,0,0,-6000
"Rosstafarian",AcRKLUvz8e,2023-11-06T17:29:54.878Z,2023-11-06T18:21:07.208Z,1000,1088,0,88
"cito",ug0-CrzeER,2023-11-06T17:25:37.519Z,2023-11-06T18:05:17.530Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-11-06T17:25:37.517Z,2023-11-06T17:31:48.726Z,1000,0,0,-1000
"Koong",_7wEftStwr,2023-11-06T17:25:37.514Z,,1000,,6396,5396
