player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Koong",zeKTEQXn0r,2023-11-09T23:32:33.920Z,2023-11-09T23:52:51.067Z,1000,0,0,-1000
"Koong",zeKTEQXn0r,2023-11-09T23:20:09.220Z,2023-11-09T23:32:24.176Z,2000,0,0,-2000
"chong",Z9Ptp2nZKV,2023-11-09T23:20:09.218Z,,1000,,1202,202
"Koong",zeKTEQXn0r,2023-11-09T22:51:23.917Z,2023-11-09T23:19:37.797Z,730,0,0,-730
"chong",Z9Ptp2nZKV,2023-11-09T22:47:47.344Z,2023-11-09T23:19:37.794Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-11-09T22:42:28.912Z,,4000,,4260,260
"chong",Z9Ptp2nZKV,2023-11-09T22:35:44.454Z,2023-11-09T22:47:17.121Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-11-09T22:35:44.452Z,2023-11-09T22:40:57.485Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-11-09T22:32:11.574Z,,2000,,3935,1935
"ODgoofyahhh",aLzuV5BI-s,2023-11-09T22:30:03.547Z,2023-11-09T22:34:01.716Z,1000,0,0,-1000
"Koong",A3dfezG7Jp,2023-11-09T22:30:03.541Z,,1000,,730,-270
"cito",ug0-CrzeER,2023-11-09T22:23:05.306Z,,1000,,8603,7603
"noah",zdVhbI3D5i,2023-11-09T22:22:32.402Z,2023-11-09T22:42:10.637Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-11-09T22:22:32.404Z,2023-11-09T22:31:06.154Z,1000,0,0,-1000
