player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Koong",SxpYZuM13m,2023-11-02T00:47:36.690Z,,1000,,1025,25
"chong",Z9Ptp2nZKV,2023-11-02T00:37:29.679Z,2023-11-02T00:45:51.123Z,2000,0,0,-2000
"noah",zdVhbI3D5i,2023-11-02T00:18:19.689Z,,1000,,2669,1669
"noah",zdVhbI3D5i,2023-11-02T00:00:57.576Z,2023-11-02T00:17:44.423Z,2000,0,0,-2000
"Muuu",wz04g67XLY,2023-11-01T23:50:18.237Z,2023-11-02T01:04:03.390Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-11-01T23:50:18.239Z,2023-11-02T00:00:02.252Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2023-11-01T23:38:28.712Z,,1000,,4070,3070
"Tim",5-UpQ-JlBO,2023-11-01T23:37:51.561Z,2023-11-01T23:56:50.363Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-01T23:22:11.642Z,2023-11-02T00:36:56.306Z,2000,0,0,-2000
"cito",ug0-CrzeER,2023-11-01T23:21:09.013Z,,1000,,3682,2682
"ODgoofyahhh",kBka-EGRbK,2023-11-01T23:21:09.015Z,2023-11-01T23:37:44.562Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-11-01T23:21:09.010Z,,3000,,6554,3554
