player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tim",VkxrnlN8ED,2023-11-14T03:23:55.452Z,,1000,,845,-155
"Rosstafarian",AcRKLUvz8e,2023-11-14T03:13:14.354Z,2023-11-14T03:29:09.890Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2023-11-14T03:09:08.467Z,,1000,,1839,839
"ODgoofyahhh",kBka-EGRbK,2023-11-14T03:03:32.463Z,2023-11-14T03:08:12.302Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2023-11-14T03:02:13.316Z,2023-11-14T03:18:15.249Z,2000,0,0,-2000
"Koong",SSZOUX-A0e,2023-11-14T03:01:15.056Z,,1000,,1957,957
"Muuu",wz04g67XLY,2023-11-14T02:56:24.152Z,,2000,,1037,-963
"chong",Z9Ptp2nZKV,2023-11-14T02:44:57.861Z,,1000,,2856,1856
"Rosstafarian",AcRKLUvz8e,2023-11-14T02:44:57.859Z,2023-11-14T03:11:52.312Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-11-14T02:44:57.855Z,,1500,,7947,6447
"cito",ug0-CrzeER,2023-11-14T02:42:48.769Z,,1000,,1019,19
"Tim",VkxrnlN8ED,2023-11-14T02:42:06.462Z,2023-11-14T03:21:54.937Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2023-11-14T02:41:20.211Z,2023-11-14T03:02:13.313Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-14T02:41:20.215Z,2023-11-14T02:44:14.018Z,1000,0,0,-1000
"Koong",SSZOUX-A0e,2023-11-14T02:41:20.204Z,2023-11-14T03:00:24.467Z,1000,0,0,-1000
