player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2023-11-18T22:18:59.721Z,2023-11-18T22:29:49.878Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-11-18T21:43:16.190Z,2023-11-18T21:47:47.860Z,500,0,0,-500
"Rosstafarian",AcRKLUvz8e,2023-11-18T21:36:09.038Z,2023-11-18T21:43:16.187Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-11-18T21:29:42.396Z,2023-11-18T21:40:11.221Z,1000,2085,0,1085
"noah",zdVhbI3D5i,2023-11-18T21:12:05.104Z,,2762,,3452,690
"Niraj",mMIjmh0HhX,2023-11-18T21:11:06.582Z,,1500,,5534,4034
"Rosstafarian",AcRKLUvz8e,2023-11-18T20:58:30.291Z,2023-11-18T21:34:55.013Z,1000,0,0,-1000
"Niraj",mMIjmh0HhX,2023-11-18T20:55:04.551Z,2023-11-18T21:10:15.731Z,1200,0,0,-1200
"noah",zdVhbI3D5i,2023-11-18T20:40:22.515Z,2023-11-18T21:11:06.579Z,2000,0,0,-2000
"Niraj",mMIjmh0HhX,2023-11-18T20:39:25.570Z,2023-11-18T20:53:10.681Z,1000,0,0,-1000
"Oliver",T2UfRUVgvz,2023-11-18T20:38:44.872Z,2023-11-18T22:00:21.528Z,3500,5088,0,1588
"Chong",-HxDqwL99V,2023-11-18T20:38:44.870Z,,1000,,2902,1902
"cito",ug0-CrzeER,2023-11-18T20:38:12.580Z,2023-11-18T22:18:11.825Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-11-18T20:38:12.571Z,2023-11-18T21:27:54.623Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-11-18T20:38:12.578Z,,3000,,3401,401
