player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2023-11-02T21:33:34.946Z,,1000,,1730,730
"Koong",fTKrGesOr-,2023-11-02T20:20:33.409Z,2023-11-02T21:39:39.433Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2023-11-02T20:16:51.558Z,,1000,,4179,3179
"Oliver",I3_cCYxrmW,2023-11-02T20:13:47.528Z,2023-11-02T21:38:51.512Z,1000,3240,0,2240
"Koong",fTKrGesOr-,2023-11-02T20:06:23.266Z,2023-11-02T20:19:28.092Z,2000,0,0,-2000
"ODgoofyahhh",aLzuV5BI-s,2023-11-02T19:54:55.277Z,2023-11-02T20:26:34.560Z,1000,0,0,-1000
"Tim",L1KOTzxmUX,2023-11-02T19:54:55.275Z,2023-11-02T20:02:51.927Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-11-02T19:53:07.834Z,,1000,,4851,3851
"ODgoofyahhh",aLzuV5BI-s,2023-11-02T19:53:07.832Z,2023-11-02T19:54:16.764Z,1000,0,0,-1000
"Tim",L1KOTzxmUX,2023-11-02T19:50:13.019Z,2023-11-02T19:54:16.761Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-11-02T19:50:13.021Z,2023-11-02T19:52:08.174Z,1000,0,0,-1000
"Koong",fTKrGesOr-,2023-11-02T19:50:13.016Z,2023-11-02T20:05:53.664Z,1000,0,0,-1000
