player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chun",r4U-S0PqHf,2023-11-04T21:19:41.114Z,2023-11-04T21:36:12.687Z,3000,0,0,-3000
"Muuu",wz04g67XLY,2023-11-04T21:01:10.334Z,,2677,,3372,695
"tiff",hkQU0D6T6i,2023-11-04T20:49:27.355Z,,3000,,5720,2720
"Muuu",Ue8-OFFWVv,2023-11-04T20:20:24.929Z,,1000,,2677,1677
"Muuu",Ue8-OFFWVv,2023-11-04T20:14:33.819Z,2023-11-04T20:19:41.241Z,1000,0,0,-1000
"Muuu",Ue8-OFFWVv,2023-11-04T20:08:48.725Z,2023-11-04T20:14:18.544Z,1000,0,0,-1000
"cito",ug0-CrzeER,2023-11-04T19:41:34.144Z,,1000,,5278,4278
"Chun",r4U-S0PqHf,2023-11-04T19:30:34.000Z,2023-11-04T21:19:07.746Z,3000,0,0,-3000
"Rosstafarian",AcRKLUvz8e,2023-11-04T19:26:49.173Z,2023-11-04T20:01:46.823Z,1000,770,0,-230
"cito",ug0-CrzeER,2023-11-04T19:26:49.168Z,2023-11-04T19:41:20.330Z,1000,0,0,-1000
"Chun",-6-yYmPWx-,2023-11-04T19:26:49.175Z,,1000,,860,-140
