player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Koong",b2-iRk-0FL,2023-10-22T21:03:04.550Z,2023-10-22T21:31:29.046Z,2000,0,0,-2000
"ODgoofyahhhh",kBka-EGRbK,2023-10-22T20:52:48.795Z,2023-10-22T21:01:12.403Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-10-22T20:34:05.199Z,2023-10-22T20:40:23.726Z,1500,0,0,-1500
"noah",zdVhbI3D5i,2023-10-22T20:32:21.400Z,2023-10-22T20:49:16.245Z,1500,0,0,-1500
"Rosstafarian",AcRKLUvz8e,2023-10-22T20:32:21.406Z,2023-10-22T21:01:22.377Z,1500,1908,0,408
"Koong",b2-iRk-0FL,2023-10-22T20:32:21.407Z,2023-10-22T21:02:42.616Z,1500,0,0,-1500
"Chun",-6-yYmPWx-,2023-10-22T20:32:21.404Z,,1000,,8092,7092
