player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chun",-6-yYmPWx-,2023-11-10T19:06:22.551Z,,2000,,2140,140
"Chun",-6-yYmPWx-,2023-11-10T18:54:39.078Z,2023-11-10T19:06:07.437Z,1080,0,0,-1080
"Rosstafarian",VkxrnlN8ED,2023-11-10T18:52:21.421Z,,1000,,1710,710
"Chun",tC9K3g127I,2023-11-10T18:46:38.885Z,2023-11-10T18:57:28.704Z,1000,1190,0,190
"ODgoofyahhh",kBka-EGRbK,2023-11-10T18:27:13.949Z,2023-11-10T18:56:06.136Z,1000,0,0,-1000
"Chong",-HxDqwL99V,2023-11-10T18:26:57.424Z,,1500,,3449,1949
"Chong",-HxDqwL99V,2023-11-10T18:22:51.580Z,2023-11-10T18:26:12.417Z,1000,0,0,-1000
"Koong",BCXQ4syH-h,2023-11-10T18:21:47.689Z,,2000,2000,2091,2091
"ODgoofyahhh",kBka-EGRbK,2023-11-10T18:16:48.286Z,2023-11-10T18:26:57.418Z,1000,0,0,-1000
"Koong",BCXQ4syH-h,2023-11-10T18:16:48.283Z,2023-11-10T18:21:43.347Z,1000,0,0,-1000
