player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Koong",b2-iRk-0FL,2023-10-26T01:32:12.223Z,,1000,,1945,945
"chong",Z9Ptp2nZKV,2023-10-26T01:18:33.500Z,2023-10-26T01:49:30.536Z,10000,9665,0,-335
"chong",Z9Ptp2nZKV,2023-10-26T01:07:54.520Z,2023-10-26T01:17:16.096Z,2000,0,0,-2000
"Koong",b2-iRk-0FL,2023-10-26T00:40:13.803Z,2023-10-26T01:32:06.018Z,2000,4830,0,2830
"chong",Z9Ptp2nZKV,2023-10-26T00:34:07.035Z,2023-10-26T01:06:55.873Z,2000,0,0,-2000
"chong",Z9Ptp2nZKV,2023-10-26T00:30:45.134Z,2023-10-26T00:33:01.931Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-10-26T00:24:58.431Z,2023-10-26T00:30:19.165Z,1000,0,0,-1000
"lukas",4nAyqTCfqI,2023-10-25T23:57:15.253Z,2023-10-25T23:59:11.912Z,1000,0,0,-1000
"Koong",b2-iRk-0FL,2023-10-25T23:43:05.668Z,2023-10-26T00:38:58.599Z,2000,0,0,-2000
"lukas",4nAyqTCfqI,2023-10-25T23:39:22.753Z,2023-10-25T23:55:34.029Z,1000,0,0,-1000
"Rosstafarian",AcRKLUvz8e,2023-10-25T23:39:22.750Z,2023-10-26T00:26:52.407Z,1000,2358,0,1358
"ODgoofyahhh",aLzuV5BI-s,2023-10-25T23:39:22.747Z,2023-10-25T23:54:39.558Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-10-25T23:32:35.509Z,2023-10-25T23:38:17.464Z,1000,0,0,-1000
"cito",ug0-CrzeER,2023-10-25T23:30:44.347Z,,1000,,2788,1788
"Chun",-6-yYmPWx-,2023-10-25T23:29:15.987Z,2023-10-26T01:23:35.198Z,1000,8414,0,7414
"Koong",b2-iRk-0FL,2023-10-25T23:29:15.986Z,2023-10-25T23:41:53.696Z,2000,0,0,-2000
