player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tim",CYvL9HfjRR,2023-10-08T00:45:03.728Z,2023-10-08T01:18:31.218Z,1000,0,0,-1000
"Rosstafarian",AcRKLUvz8e,2023-10-08T00:38:09.423Z,2023-10-08T00:58:33.439Z,1000,160,0,-840
"Oliver",T2UfRUVgvz,2023-10-08T00:36:24.967Z,2023-10-08T01:07:14.322Z,5000,3087,0,-1913
"ODgoofyahhh",aLzuV5BI-s,2023-10-08T00:33:27.926Z,2023-10-08T00:42:23.872Z,1000,0,0,-1000
"Koong",AmIlw9JuFV,2023-10-08T00:33:27.931Z,,1000,,2280,1280
"Chun",-6-yYmPWx-,2023-10-08T00:33:27.929Z,,1000,,4473,3473
